,City,Country,Lat,Lng,Max Temp,Hotel Name
0,Mar Del Plata,AR,-38.0023,-57.5575,64.4,Gran Hotel Mar del Plata
1,Bambous Virieux,MU,-20.3428,57.7575,80.01,Casa Tia Villa
2,Huaicheng,CN,23.9051,112.1931,61.43,Tengye Hotel
4,Buala,SB,-8.145,159.5921,76.75,Maringe Lagoon Lodge
5,Cabedelo,BR,-6.9811,-34.8339,82.4,Hotel Pigalle
7,Tual,ID,-5.6667,132.75,83.19,Grand Vilia Hotel
8,Lar,IN,26.2039,83.9717,79.66,Ovaiskarni ward Lar
9,Araguari,BR,-18.6472,-48.1872,73.47,Big Executive Hotel - Araguari MG
10,Coquimbo,CL,-29.9533,-71.3436,66.2,Punto de encuentro
11,Mahebourg,MU,-20.4081,57.7,78.8,Shandrani Beachcomber Resort & Spa
12,Chuy,UY,-33.6971,-53.4616,74.28,Nuevo Hotel Plaza
13,Avarua,CK,-21.2078,-159.775,80.6,Paradise Inn
14,Kapaa,US,22.0752,-159.319,75.2,Sheraton Kauai Resort at Coconut Beach
16,Saint-Philippe,RE,-21.3585,55.7679,78.8,"Chambres d'hôte ""La Trinité"""
17,Puerto Ayora,EC,-0.7393,-90.3518,86.0,Finch Bay Galapagos Hotel
18,Roebourne,AU,-20.7833,117.1333,82.31,Harding River Caravan Park
22,Vaini,TO,-21.2,-175.2,77.0,Keleti Beach Resort
25,Carnarvon,AU,-24.8667,113.6333,73.4,Hospitality Carnarvon
27,Castro,BR,-24.7911,-50.0119,66.83,CHACARA BAILLY
28,Vao,NC,-22.6667,167.4833,77.76,Hotel Kou-Bugny
29,Saint George,US,37.1041,-113.5841,82.0,Best Western Plus Abbey Inn
31,Asyut,EG,27.180999999999997,31.1837,73.4,Florence Hotel Assiut
32,Rikitea,PF,-23.1203,-134.9692,76.5,Pension Maro'i
38,Naze,JP,28.3667,129.4833,62.53,奄美ポートタワーホテル
40,Butaritari,KI,3.0707,172.7902,82.15,Isles Sunset Lodge
45,Ormond Beach,US,29.2858,-81.0559,82.4,Makai Beach Lodge
46,Huarmey,PE,-10.0681,-78.1522,73.63,Hotel Miramar
49,Bubaque,GW,11.2833,-15.8333,76.77,"Casa Dora, Bubaque"
51,Inhambane,MZ,-23.865,35.3833,73.29,Oceano
52,Jamestown,US,42.097,-79.2353,78.8,Hampton Inn & Suites Jamestown
53,Port Alfred,ZA,-33.5906,26.891,66.49,The Halyards Hotel
55,Atuona,PF,-9.8,-139.0333,80.96,Villa Enata
57,Nouadhibou,MR,20.930999999999997,-17.0347,66.2,El Medina
63,Saint Anthony,US,45.0205,-93.21799999999999,66.2,Holiday Inn Express Roseville-St. Paul
64,East London,ZA,-33.0153,27.9116,66.74,Tu Casa
67,Adrar,MR,20.5022,-10.0711,82.85,
69,Coromandel,BR,-18.4733,-47.2003,69.31,Hotel Dona Adélia
70,Cairns,AU,-16.9167,145.7667,71.6,Mantra Trilogy Cairns
71,Aripuana,BR,-9.1667,-60.6333,78.15,
72,Albany,US,42.6001,-73.9662,72.0,
74,Villa Rica,US,33.7321,-84.9191,75.2,Days Inn by Wyndham Villa Rica
75,Paita,PE,-5.0892,-81.1144,86.0,Hotel Náutico de Paita
76,Harper,LR,4.375,-7.7169,79.61,Screensaver
77,Pisco,PE,-13.7,-76.2167,73.4,Hotel San Isidro Oficial
78,Alofi,NU,-19.0595,-169.9187,77.0,Taloa Heights
79,Bethel,US,41.3712,-73.414,71.6,Courtyard by Marriott Danbury
80,Qandala,SO,11.472000000000001,49.8728,79.81,
82,Cape Town,ZA,-33.9258,18.4232,66.0,Southern Sun Waterfront Cape Town
83,Misratah,LY,32.3754,15.0925,60.31,فندق الماسة
84,Kasongo-Lunda,CD,-6.4667,16.8167,70.68,
88,Mangrol,IN,21.1167,70.1167,78.76,Hotel The Royal Honours
89,Mandla,IN,22.6,80.3833,83.8,Bison Resort
