,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,76.19,65,27,2.35,PF,2021-04-08 18:39:00
1,Scarborough,54.2797,-0.4044,48.0,67,100,5.99,GB,2021-04-08 18:37:00
2,Vanderhoof,54.0166,-124.0198,39.87,35,20,9.93,CA,2021-04-08 18:39:01
3,Chokurdakh,70.6333,147.9167,-12.06,95,100,4.76,RU,2021-04-08 18:39:01
4,Ushuaia,-54.8,-68.3,44.6,76,40,29.93,AR,2021-04-08 18:39:01
5,Taian,36.1853,117.12,62.01,53,92,3.02,CN,2021-04-08 18:38:16
6,Tanout,14.9709,8.8879,89.62,6,0,10.98,NE,2021-04-08 18:39:02
7,Krasnoselkup,65.7,82.4667,3.38,97,19,4.25,RU,2021-04-08 18:39:02
8,Avarua,-21.2078,-159.775,77.0,94,75,5.75,CK,2021-04-08 18:39:03
9,Hilo,19.7297,-155.09,73.4,68,75,9.22,US,2021-04-08 18:39:03
10,Bluff,-46.6,168.3333,39.99,95,9,1.99,NZ,2021-04-08 18:39:03
11,Langxiang,46.95,128.8833,24.57,61,0,1.83,CN,2021-04-08 18:39:04
12,Busselton,-33.65,115.3333,48.99,89,0,14.54,AU,2021-04-08 18:39:04
13,Butaritari,3.0707,172.7902,81.86,79,19,17.25,KI,2021-04-08 18:39:04
14,Nikolskoye,59.7035,30.7861,37.0,64,0,8.95,RU,2021-04-08 18:39:04
15,Punta Arenas,-53.15,-70.9167,50.0,53,75,26.46,CL,2021-04-08 18:39:05
16,Qaanaaq,77.484,-69.3632,11.73,71,100,2.39,GL,2021-04-08 18:39:05
17,Arraial Do Cabo,-22.9661,-42.0278,78.8,78,40,11.5,BR,2021-04-08 18:39:05
